C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\.venv\Scripts\python.exe C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\feature_selection\fs1_xgb_autofe.py
df_train_features.shape=(750000, 221)
len(FEATURES_ALREADY_FOUND)=0
Starting Forward Feature Selection.
Original Features (always selected): ['Sex', 'Age', 'Height', 'Weight', 'Duration', 'Heart_Rate', 'Body_Temp']
Initial features to select: []
Initial features to discard: []
Scoring baseline model
Baseline score: -0.06312 ((750000, 7)) (6.97s)
Round 1/25
66 /220 Feature Max_Age_Heart_Rate                                                                             : score -0.06312 ((750000, 8))
67 /220 Feature CombineThenFreq_Weight_Duration                                                                : score -0.06265 ((750000, 8))
68 /220 Feature GroupByThenMean_Sex_Height                                                                     : score -0.06289 ((750000, 8))
69 /220 Feature Plus_Heart_Rate_Body_Temp                                                                      : score -0.06509 ((750000, 8))
70 /220 Feature CombineThenFreq_Sex_Duration                                                                   : score -0.06638 ((750000, 8))
71 /220 Feature Freq_Body_Temp                                                                                 : score -0.06341 ((750000, 8))
72 /220 Feature Plus_Height_Body_Temp                                                                          : score -0.06310 ((750000, 8))
73 /220 Feature Minus_Age_Height                                                                               : score -0.06352 ((750000, 8))
74 /220 Feature Multiply_Sex_Heart_Rate                                                                        : score -0.06310 ((750000, 8))
75 /220 Feature Minus_Age_Heart_Rate                                                                           : score -0.06370 ((750000, 8))
76 /220 Feature Plus_Sex_Body_Temp                                                                             : score -0.06263 ((750000, 8))
77 /220 Feature GroupByThenMean_Weight_Body_Temp                                                               : score -0.06325 ((750000, 8))
78 /220 Feature Divide_Weight_Height                                                                           : score -0.06290 ((750000, 8))
79 /220 Feature Plus_Sex_Height                                                                                : score -0.06286 ((750000, 8))
80 /220 Feature Multiply_Age_Height                                                                            : score -0.06524 ((750000, 8))
81 /220 Feature Multiply_Weight_Heart_Rate                                                                     : score -0.06296 ((750000, 8))
82 /220 Feature Minus_Height_Duration                                                                          : score -0.06314 ((750000, 8))
