C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\.venv\Scripts\python.exe C:\Users\Johannes\PycharmProjects\kaggle-calories_2025-5\feature_selection\fs11_map_original_dataset_targets_min_nunique_from_fc8_fc9.py
df_train_features.shape=(750000, 254)
len(FEATURES_ALREADY_FOUND)=0
Starting Forward Feature Selection.
Original Features (always selected): ['Sex', 'Age', 'Height', 'Weight', 'Duration', 'Heart_Rate', 'Body_Temp']
Initial features to select: []
Initial features to discard: []
Scoring baseline model
Baseline score: 0.05958 ((750000, 7)) (15.12s)
Round 0
0  /253 Feature map_orig_targets_min_Age_Body_Temp                                                             : score 0.05957 (-0.00001)
57 /253 Feature map_orig_targets_min_Sex_Age_Duration_Heart_Rate_Body_Temp                                     : score 0.05958 (0.00000)
58 /253 Feature map_orig_targets_min_Sex_Age_Duration_Heart_Rate                                               : score 0.05956 (-0.00002)
59 /253 Feature map_orig_targets_min_Sex_Age_Duration                                                          : score 0.05965 (0.00007)
60 /253 Feature map_orig_targets_min_Sex_Age_Heart_Rate_Body_Temp                                              : score 0.05957 (-0.00000)
61 /253 Feature map_orig_targets_min_Sex_Age_Heart_Rate                                                        : score 0.05956 (-0.00002)
62 /253 Feature map_orig_targets_min_Sex_Age_Height_Body_Temp                                                  : score 0.05958 (0.00000)
63 /253 Feature map_orig_targets_min_Sex_Age_Height_Duration_Body_Temp                                         : score 0.05959 (0.00001)
64 /253 Feature map_orig_targets_min_Sex_Age_Height_Duration_Heart_Rate_Body_Temp                              : score 0.05957 (-0.00001)
65 /253 Feature map_orig_targets_min_Sex_Age_Height_Duration_Heart_Rate                                        : score 0.05957 (-0.00001)
66 /253 Feature map_orig_targets_min_Sex_Age_Height_Duration                                                   : score 0.05956 (-0.00002)
67 /253 Feature map_orig_targets_min_Sex_Age_Height_Heart_Rate_Body_Temp                                       : score 0.05961 (0.00003)
68 /253 Feature map_orig_targets_min_Sex_Age_Height_Heart_Rate                                                 : score 0.05957 (-0.00001)
69 /253 Feature map_orig_targets_min_Sex_Age_Height                                                            : score 0.05956 (-0.00002)
70 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Body_Temp                                           : score 0.05957 (-0.00001)
71 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Duration_Body_Temp                                  : score 0.05962 (0.00004)
72 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Duration_Heart_Rate_Body_Temp                       : score 0.05957 (-0.00001)
73 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Duration_Heart_Rate                                 : score 0.05958 (-0.00000)
74 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Duration                                            : score 0.05958 (0.00000)
75 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Heart_Rate_Body_Temp                                : score 0.05957 (-0.00001)
76 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight_Heart_Rate                                          : score 0.05962 (0.00005)
77 /253 Feature map_orig_targets_min_Sex_Age_Height_Weight                                                     : score 0.05956 (-0.00002)
78 /253 Feature map_orig_targets_min_Sex_Age                                                                   : score 0.05953 (-0.00005)
79 /253 Feature map_orig_targets_min_Sex_Age_Weight_Body_Temp                                                  : score 0.05957 (-0.00001)
80 /253 Feature map_orig_targets_min_Sex_Age_Weight_Duration_Body_Temp                                         : score 0.05961 (0.00003)
81 /253 Feature map_orig_targets_min_Sex_Age_Weight_Duration_Heart_Rate_Body_Temp                              : score 0.05958 (0.00000)
82 /253 Feature map_orig_targets_min_Sex_Age_Weight_Duration_Heart_Rate                                        : score 0.05962 (0.00004)
83 /253 Feature map_orig_targets_min_Sex_Age_Weight_Duration                                                   : score 0.05959 (0.00001)
84 /253 Feature map_orig_targets_min_Sex_Age_Weight_Heart_Rate_Body_Temp                                       : score 0.05961 (0.00003)
85 /253 Feature map_orig_targets_min_Sex_Age_Weight_Heart_Rate                                                 : score 0.05958 (-0.00000)
86 /253 Feature map_orig_targets_min_Sex_Age_Weight                                                            : score 0.05965 (0.00007)
87 /253 Feature map_orig_targets_min_Sex_Body_Temp                                                             : score 0.05961 (0.00003)
88 /253 Feature map_orig_targets_min_Sex_Duration_Body_Temp                                                    : score 0.05953 (-0.00005)
89 /253 Feature map_orig_targets_min_Sex_Duration_Heart_Rate_Body_Temp                                         : score 0.05958 (-0.00000)
90 /253 Feature map_orig_targets_min_Sex_Duration_Heart_Rate                                                   : score 0.05979 (0.00021)
91 /253 Feature map_orig_targets_min_Sex_Duration                                                              : score 0.05953 (-0.00005)
92 /253 Feature map_orig_targets_min_Sex_Heart_Rate_Body_Temp                                                  : score 0.05967 (0.00009)
93 /253 Feature map_orig_targets_min_Sex_Heart_Rate                                                            : score 0.05964 (0.00006)
94 /253 Feature map_orig_targets_min_Sex_Height_Body_Temp                                                      : score 0.05963 (0.00005)
95 /253 Feature map_orig_targets_min_Sex_Height_Duration_Body_Temp                                             : score 0.05958 (0.00001)
96 /253 Feature map_orig_targets_min_Sex_Height_Duration_Heart_Rate_Body_Temp                                  : score 0.05955 (-0.00003)
97 /253 Feature map_orig_targets_min_Sex_Height_Duration_Heart_Rate                                            : score 0.05959 (0.00001)
98 /253 Feature map_orig_targets_min_Sex_Height_Duration                                                       : score 0.05958 (0.00001)
99 /253 Feature map_orig_targets_min_Sex_Height_Heart_Rate_Body_Temp                                           : score 0.05956 (-0.00002)
100/253 Feature map_orig_targets_min_Sex_Height_Heart_Rate                                                     : score 0.05958 (0.00000)
101/253 Feature map_orig_targets_min_Sex_Height                                                                : score 0.05954 (-0.00004)
102/253 Feature map_orig_targets_min_Sex_Height_Weight_Body_Temp                                               : score 0.05962 (0.00004)
103/253 Feature map_orig_targets_min_Sex_Height_Weight_Duration_Body_Temp                                      : score 0.05955 (-0.00002)
104/253 Feature map_orig_targets_min_Sex_Height_Weight_Duration_Heart_Rate_Body_Temp                           : score 0.05956 (-0.00002)
105/253 Feature map_orig_targets_min_Sex_Height_Weight_Duration_Heart_Rate                                     : score 0.05958 (-0.00000)
